V_cell,min_gentime,transporter_density,K,V_max
8.00696306440957e-18,1.6053268441037145,0.007827392204547692,0.0004421017874159541,0.0001100798896196958
8.534428152016461e-18,2.1963776052327035,0.008560635093926567,0.0004900334486562208,0.00011861759889718429
9.088971372136418e-18,1.9296464117534422,0.00973709522889549,0.0005638545926390449,0.00013289990563887568
9.671599646989759e-18,1.4739947509951992,0.011194985870677156,0.0006560971080213256,0.00015047772267621769
1.0283343469656548e-17,2.6837517428353506,0.012134384460473858,0.000722324815761742,0.00016059151047274512
1.092525713956908e-17,3.2158076591193576,0.013596463652968351,0.0008211200215725266,0.0001771296420635692
1.1598418997278576e-17,0.7857219292405605,0.01679427030960327,0.0010260594774162924,0.00021532411871310055
1.2303931658507466e-17,1.0847209637778297,0.01824615249607107,0.0011333498814451231,0.00023018471341613753
1.304292224749864e-17,11.332770584808218,0.01917384123550353,0.0012119908782732135,0.0002379561376305915
1.3816542629672375e-17,0.4404097537898812,0.02510830151429917,0.001606814924451551,0.00030647728947411426
1.462596964360153e-17,0.45879821689073064,0.027805051324138894,0.0018092315514851706,0.0003337413641750537
1.547240533231524e-17,0.9034919705964917,0.0292334463466967,0.0019358262934009633,0.00034497335532815356
1.635707717394117e-17,0.4682957332758676,0.0344856584233902,0.00231967397577824,0.00040001725276293847
1.7281238311695926e-17,0.5287531315973825,0.038069014217413995,0.0026039419437965867,0.000433973894910863
1.8246167783233208e-17,3.906574145783112,0.03971807583268742,0.002764327294484794,0.000444888009991193
1.9253170749358887e-17,2.7369926650403205,0.04486322646903163,0.003173880830213418,0.0004936781676508415
2.0303578722121937e-17,1.5446259570386875,0.05091830428259203,0.003661471309123853,0.0005503516713436412
2.1398749792290114e-17,1.3120493036111196,0.05735055731884978,0.0041920256748907295,0.0006087522591125728
2.2540068856218684e-17,2.097370410162844,0.06378881984655775,0.004739737225364132,0.0006648280746292187
2.3728947842120736e-17,2.6308195130657164,0.07138767042472116,0.005391446372745474,0.0007304267681610625
2.4966825935747238e-17,2.3133833698624278,0.08018355230106035,0.006154556741019732,0.0008052966101813748
2.625516980548447e-17,4.285241745233176,0.08951324995070059,0.0069823974678750195,0.0008822770535280946
2.7595473826876837e-17,2.3059002497348335,0.1007621414080745,0.007986610806903808,0.0009745264423703505
2.8989260306582626e-17,0.8752430927571991,0.11432592668937923,0.00920669423576555,0.0010848071767474864
3.0438079705769657e-17,1.7720000783575738,0.12668399916532128,0.010364918254030816,0.0011791678674663347
3.1943510862958756e-17,1.95878570964644,0.14166913721639993,0.011774472281834937,0.0012933351586716354
3.3507161216321464e-17,1.96550661614857,0.15850102834498886,0.01338042254976617,0.0014190157002512101
3.5130667025438986e-17,1.0578432728609166,0.17822808043964958,0.01528022317803149,0.0015645491712832354
3.681569359252937e-17,2.628171696433135,0.19789389552329664,0.017229061737719473,0.0017031130595348775
3.8563935483149206e-17,3.1221924587588084,0.22104567197531816,0.019540181475566878,0.001864800644101439
4.037711674637635e-17,0.5435916866936679,0.25052135864954955,0.022482588276922656,0.002071462329095775
4.225699113448001e-17,1.1401132649947119,0.2771655278708193,0.025249827245282786,0.0022459349308181728
4.420534232208439e-17,5.519079707964045,0.30761895044436377,0.028444199835688553,0.0024425399307827188
4.622398412483147e-17,2.4814147939355706,0.34388684024308414,0.03227011168905857,0.002675228341636906
4.8314760717549626e-17,2.809488299609301,0.38349582769140333,0.036517235723547155,0.002922602963172717
5.04795468519331e-17,1.2573699344380977,0.4287887563149849,0.041426591007867684,0.003200844965820308
5.272024807373826e-17,3.3547676000734024,0.47656781872319076,0.046709864734737726,0.003484233240246063
5.503880093950237e-17,1.0781439476510444,0.5327655782242046,0.05296807724768894,0.003814433451497708
5.743717323278975e-17,2.7110334203984476,0.5917870902405706,0.05967435666835086,0.004148792924331944
5.991736417997113e-17,1.291563022782123,0.6601182353312554,0.06750499918072173,0.004530980958173247
