BGE,r,response,rM,rG,rX,concentration
0.26180383302772947,0.010425417823388168,2,2.2222015620276287e-16,1.7422755130131316e-17,7.308685457797679e-19,1
0.0,0.01613768665745072,1,3.669806753042215e-15,3.6452311340414987e-17,2.9255063614380984e-19,1
0.09445707959189129,0.010596473557266374,1,2.182383794970968e-15,2.247182585062555e-17,1.7892232709508525e-19,1
0.0,0.12368507874909784,1,1.8892646310283318e-14,3.357247288630882e-16,4.76137534254759e-18,1
0.0,0.10338977208628339,2,3.303380520430175e-14,3.1030043849794563e-16,1.1616207735171626e-16,1
0.0,0.11884710643176791,1,4.1106731944804314e-14,3.66695231929542e-16,4.142886968898651e-18,1
0.0,0.0976413442512904,1,7.58002286807755e-15,2.370682134849344e-16,1.3600083665184428e-18,1
0.0,0.30209067858742294,2,3.217486186640235e-14,8.595481146013569e-16,5.377625074212188e-16,1
0.0419524184262732,0.0132427897098855,1,2.9667508663273707e-15,2.9221223544701845e-17,1.3924651846331375e-19,1
0.0,0.15855233300834443,1,1.4870035504630336e-13,5.730863052344068e-16,1.0139619803172971e-17,1
0.0,0.10707534091795648,2,7.163406565346363e-15,2.5346591738492137e-16,4.36738391843109e-17,1
0.0,0.061023896218931256,2,6.34859754079856e-15,1.425958791584557e-16,1.8716025703192148e-17,1
0.10051166138879548,0.006427501217341522,1,3.4993758657074205e-19,7.196265039131565e-18,4.538851942797415e-21,1
0.07886876861401099,0.005912791692617341,1,1.9709734331098421e-19,6.4943746678239646e-18,1.683220102541979e-21,1
0.0,0.3225966902476344,1,1.0889951298535551e-13,1.0714104998995302e-15,5.28934933083638e-17,1
0.0,0.10822792838743384,1,6.997701168456335e-15,2.538458160511517e-16,2.1792200295908815e-18,1
0.43420200782592,0.08896533243812278,1,7.856980526514241e-15,2.1466767191364715e-16,6.959398646924458e-18,1
0.4684141901864475,0.10475170426889574,2,4.250076887412846e-16,1.793073334124087e-16,1.0321247828078813e-17,1
0.404599575196414,0.0792304862630141,1,1.4609008597190913e-14,2.098598630771294e-16,1.5358872779327886e-18,1
0.3704270469227844,0.07091759147637439,1,2.3030085405831898e-14,2.0150950344833068e-16,2.1746160019778124e-18,1
0.42446726424881853,0.08536737176681758,1,1.00312415359569e-14,2.1361844101937488e-16,1.6207791342768595e-18,1
0.368497781154037,0.06835443738639874,1,2.5903456680482377e-14,2.000512168412942e-16,2.0860725006942257e-18,1
0.4694963800416302,0.09966397268240068,1,7.682739058597344e-16,1.7482537470509388e-16,2.689732751705358e-18,1
0.47214098115301767,0.07775661364407685,1,1.2961191632835317e-16,1.1487360624302893e-16,2.9589561391441255e-19,1
0.4633444857976988,0.10338762938332899,1,2.042958187852272e-15,2.0583174328762258e-16,1.444415029170351e-18,1
0.47251836797623875,0.12125682051672476,2,2.9448589159746057e-16,1.933179319070045e-16,1.1717099146618405e-17,1
0.4730051148707513,0.0871033894040928,2,7.728633419762392e-17,1.2193649306122297e-16,3.2341405691723303e-18,1
0.47246168195357596,0.11015953241889763,2,2.0733502865365054e-16,1.6882530448219775e-16,7.08206617473137e-18,1
0.45615798834176696,0.1023052342751542,1,3.5153105522366666e-15,2.209341825682562e-16,1.7731231101550267e-18,1
0.46372792568322796,0.10784901292880861,1,2.066257203561931e-15,2.1637454460728554e-16,1.7227900083693985e-18,1
0.3853586000380291,0.07428897514997275,1,1.926763207674271e-14,2.0532015584982538e-16,2.911928265463174e-18,1
