concentration,BGE,r
0.005,0.3670863230892664,0.019374631991209146
0.01,0.40138445882105256,0.025583929700706772
0.05,0.3155520460566219,0.022347298154595595
0.1,0.37284324379694506,0.024440867101517848
0.5,0.3965667868969961,0.02742319029250488
0.1,0.38319418745387235,0.02573235332815704
1.0e-7,0.2608183938873982,0.01963952884960464
5.0e-7,0.31434114420903103,0.021905000524750848
1.0e-6,1.0e-15,0.1302541775186471
5.0e-6,1.0e-15,0.10973346501514586
1.0e-5,1.0e-15,0.12473298328669154
5.0e-5,0.15955776053112083,0.02092869083816639
0.0001,1.0e-15,0.08745798167391851
0.0005,0.28783327985616347,0.019385330447607922
0.001,1.0e-15,0.16190062989991996
0.005,0.09842616021519729,0.02607963285906096
0.01,0.14829892973996894,0.026565624773275422
0.05,0.28292856854915294,0.01467398463946561
0.1,1.0e-15,0.005713177819263675
0.5,1.0e-15,0.3263999062521371
0.1,0.1632862366976308,0.027564501966680165
1.0e-7,1.0e-15,0.10387950586569884
5.0e-7,0.40335455275842147,0.03545837822559951
1.0e-6,0.14969982090763634,0.030772480170558742
5.0e-6,0.026248605671828493,0.08334079661294203
1.0e-5,0.22246642874330136,0.032904036893617025
5.0e-5,0.0028236162067078316,0.06612485592354074
0.0001,0.4050810701511841,0.03602374240431624
0.0005,0.4232242843422603,0.03516758621649427
0.001,0.37514254663953267,0.0316200347300474
0.005,1.0e-15,0.05291355302470559
0.01,1.0e-15,0.041018025768171214
0.05,0.4172198036328715,0.0369995090284836
0.1,0.3406932369154758,0.028514073396555588
0.5,1.0e-15,0.08077933420705487
0.1,0.08254478920944244,0.08276142307488903
1.0e-7,1.0e-15,0.11586690010044261
5.0e-7,1.0e-15,0.28972031251451136
1.0e-6,1.0e-15,0.09216544008038012
5.0e-6,1.0e-15,0.0940125906267565
1.0e-5,0.34855432699429534,0.029096538891901513
5.0e-5,1.0e-15,0.16511364044694643
0.0001,1.0e-15,0.10203554204526794
0.0005,0.25919327137594356,0.025397246605548488
0.001,1.0e-15,0.0060404113676014275
0.005,1.0e-15,0.005713177819263675
0.01,1.0e-15,0.33011680221017725
0.05,0.27621156779812817,0.0357262880682358
0.1,0.31991119334918466,0.03301902881654667
0.5,0.39924658457186896,0.05800983523674029
0.1,0.268604430160301,0.03597377687138345
1.0e-7,0.197962836725949,0.030112201438646936
5.0e-7,0.3050076143594782,0.029935313621343555
1.0e-6,0.17143493201113447,0.02366538628029559
5.0e-6,0.40260160883138296,0.05626762186630442
1.0e-5,0.4111769962794399,0.06656129186523702
5.0e-5,0.38409587421464964,0.04780693752499481
0.0001,0.4010705637458314,0.05600564914879049
0.0005,0.4142596364658697,0.06970695232286203
0.001,0.4098459421360341,0.07143620727523785
0.005,0.3666516359534696,0.04296523098737777
0.01,0.3856189416909398,0.04864519982606799
0.05,0.2283374626035276,0.03249785578193997
0.1,0.07121891160947799,0.027421585630607426
0.5,0.0517196605572603,0.028076822584033344
0.1,0.3237768106281361,0.03445212300011072
1.0e-7,0.03313030670969931,0.016474580126106073
5.0e-7,0.37869551288379316,0.04666648564532124
1.0e-6,1.0e-15,0.1716469884888069
5.0e-6,0.3187176205409939,0.0339205945121135
1.0e-5,0.33010564576850765,0.03568895839932654
5.0e-5,0.39297895558624685,0.02890904162632512
0.0001,0.3860064151520576,0.027514118039347044
0.0005,1.0e-15,0.14669892166746637
0.001,0.3338773263037336,0.033983349892989324
0.005,0.3668412002951026,0.0491891639611054
0.01,0.42225369428334225,0.09366338891786274
0.05,0.32639826613185813,0.03957225320823441
0.1,0.27936453328520755,0.04450880016815995
0.5,0.3562318902323658,0.04557729504280225
0.1,0.26226428560815007,0.038733493213538236
1.0e-7,0.42146380342629297,0.07391922896425683
5.0e-7,0.42856029679895025,0.07231069287317946
1.0e-6,0.4101901068615856,0.06618028705791744
5.0e-6,0.41818126871730094,0.0906511711962447
1.0e-5,0.42652204014889716,0.07520862510059553
5.0e-5,0.4230223573670121,0.09173758810202472
0.0001,0.39680671949243357,0.06140653958361424
