val,meas,response,concentration
0.43805000815387274,BGE,negative,1.0e-5
0.4383224172394641,BGE,negative,1.0e-5
0.43843249423571584,BGE,positive,1.0e-5
0.4396139090011314,BGE,positive,1.0e-5
0.4319097837853796,BGE,positive,1.0e-5
0.4266946577659994,BGE,negative,1.0e-5
0.4254806376231753,BGE,positive,1.0e-5
0.43506801948039814,BGE,positive,1.0e-5
0.42200169480481786,BGE,negative,1.0e-5
0.43884388109159284,BGE,positive,1.0e-5
0.38485267174826565,BGE,positive,1.0e-5
0.4344903781410304,BGE,negative,1.0e-5
0.43555768088985597,BGE,negative,1.0e-5
0.42711191408173566,BGE,positive,1.0e-5
0.42708208658006397,BGE,positive,1.0e-5
0.4037969733565089,BGE,positive,1.0e-5
0.4360004913980797,BGE,positive,1.0e-5
0.39755918595793277,BGE,positive,1.0e-5
0.4032176961781926,BGE,negative,1.0e-5
0.3930383556538853,BGE,positive,1.0e-5
0.3876996534508571,BGE,positive,1.0e-5
0.39617672326919706,BGE,positive,1.0e-5
0.3839395443068921,BGE,positive,1.0e-5
0.4037721787823374,BGE,positive,1.0e-5
0.40439745221245865,BGE,positive,1.0e-5
0.4029028632749215,BGE,positive,1.0e-5
0.40365631790813494,BGE,negative,1.0e-5
0.4039575599860919,BGE,negative,1.0e-5
0.4040364351094959,BGE,negative,1.0e-5
0.3989139267451602,BGE,positive,1.0e-5
0.40255678592163147,BGE,positive,1.0e-5
0.3899666359286324,BGE,positive,1.0e-5
0.3754913928595608,BGE,negative,1.0e-5
0.3736372429152177,BGE,positive,1.0e-5
0.39691407675588203,BGE,positive,1.0e-5
0.3694675660749229,BGE,negative,1.0e-5
0.40081914291409676,BGE,positive,1.0e-5
0.312086498267326,BGE,positive,1.0e-5
0.39710404085844875,BGE,negative,1.0e-5
0.3980876798026474,BGE,negative,1.0e-5
0.39749905875717684,BGE,positive,1.0e-5
0.3967331873156964,BGE,positive,1.0e-5
0.3389682163128326,BGE,positive,1.0e-5
0.39784280077938144,BGE,positive,1.0e-5
0.48155389784969305,BGE,positive,1.0e-5
0.46523411667187947,BGE,negative,1.0e-5
0.48006928756002687,BGE,positive,1.0e-5
0.4822568172227708,BGE,positive,1.0e-5
0.4811023945189334,BGE,positive,1.0e-5
0.48293416093901176,BGE,positive,1.0e-5
0.4791357412506856,BGE,positive,1.0e-5
0.4620067635365811,BGE,positive,1.0e-5
0.47821523051197123,BGE,positive,1.0e-5
0.4728284342481604,BGE,negative,1.0e-5
0.4593754091089915,BGE,negative,1.0e-5
0.47501415414874076,BGE,negative,1.0e-5
0.47416346100772433,BGE,positive,1.0e-5
0.47640298405478904,BGE,positive,1.0e-5
0.48247851167264716,BGE,positive,1.0e-5
0.4792986745578228,BGE,negative,1.0e-5
0.48026297449299016,BGE,positive,1.0e-5
0.4833762897043007,BGE,positive,1.0e-5
0.47871719270831203,BGE,negative,1.0e-5
0.4827657597122984,BGE,positive,1.0e-5
0.4735283096789763,BGE,positive,1.0e-5
0.48059814406334456,BGE,negative,1.0e-5
0.48160470295444824,BGE,negative,1.0e-5
0.44560247920749796,BGE,positive,1.0e-5
0.45496312889247165,BGE,positive,1.0e-5
0.47500960152790983,BGE,positive,1.0e-5
0.4804683774668739,BGE,positive,1.0e-5
0.4425070398197697,BGE,positive,1.0e-5
0.44584213584236543,BGE,negative,1.0e-5
