concentration,BGE,r
1.0e-7,0.0,0.022479974850623887
1.0e-7,0.0,0.02596788979885439
1.0e-7,0.0419524184262732,0.0007642122816794882
1.0e-7,0.0,0.06719315771230099
1.0e-7,0.0,0.03932728570961696
1.0e-7,0.0,0.017387677309028043
1.0e-7,0.10051166138879548,0.002434142584536177
1.0e-7,0.07886876861401099,0.002409825358901451
1.0e-7,0.0,0.07834378861328829
1.0e-7,0.0,0.054193555420836315
1.0e-7,0.43420200782592,0.03743537114319269
1.0e-7,0.4684141901864475,0.008248893383256588
1.0e-7,0.404599575196414,0.029005002765788664
1.0e-7,0.3704270469227844,0.024427099236422698
1.0e-7,0.42446726424881853,0.027300263598212877
1.0e-7,0.368497781154037,0.009984729043811404
1.0e-7,0.4694963800416302,0.01737398689658994
1.0e-7,0.47214098115301767,0.029166561034163485
1.0e-7,0.4633444857976988,0.037848543125900934
1.0e-7,0.47251836797623875,0.019826149545123423
1.0e-7,0.4730051148707513,0.018849544190685744
1.0e-7,0.47246168195357596,0.014833150371889793
1.0e-7,0.45615798834176696,0.028904070603542435
1.0e-7,0.46372792568322796,0.03248008803945754
1.0e-7,0.3853586000380291,0.02286428502220568
1.0e-7,0.3130690456699642,0.01472718015418851
1.0e-7,0.3205671972833438,0.01853562225710444
1.0e-7,0.43795485764399367,0.021642773584155048
1.0e-7,0.29296245143445065,0.0051744325826882575
1.0e-7,0.4599413737353496,0.006407701849206528
1.0e-7,0.0,0.08283653749420168
1.0e-7,0.4323362062792745,0.03300008129701965
1.0e-7,0.4383245877373907,0.026188337045323806
1.0e-7,0.46722927571646533,0.02491067188695934
1.0e-7,0.4643744621634971,0.02179177645286063
1.0e-7,0.09748212677574097,0.026852127834118097
1.0e-7,0.43623247480283567,0.04438543376384723
1.0e-7,0.14459321223582602,0.010908974860873097
1.0e-7,0.36052858084573075,0.0018769330539088068
1.0e-7,0.0,0.027384732444719933
1.0e-7,0.0,0.04579359775968798
1.0e-7,0.07918362455833795,0.008021066693818305
1.0e-7,0.0,0.0159365911881537
1.0e-7,0.3670863230892664,0.0033774953303759036
1.0e-7,0.40138445882105256,0.009596550211471997
1.0e-7,0.3155520460566219,0.00818098531706892
1.0e-7,0.37284324379694506,0.003996214679737082
1.0e-7,0.3965667868969961,0.005934495096052673
1.0e-7,0.38319418745387235,0.003464900930113913
1.0e-7,0.2608183938873982,0.005548712463357735
1.0e-7,0.31434114420903103,0.006596966687288259
1.0e-7,0.0,0.04008897193839422
1.0e-7,0.0,0.027440733804798337
1.0e-7,0.0,0.032691217583510915
1.0e-7,0.15955776053112083,0.0048184142414881325
1.0e-7,0.0,0.007517938788307572
1.0e-7,0.28783327985616347,0.001118684804110311
1.0e-7,0.0,0.06861213803781535
1.0e-7,0.09842616021519729,0.009578686968048733
1.0e-7,0.14829892973996894,0.007569403785907986
1.0e-7,0.28292856854915294,0.005557147278227438
1.0e-7,0.0,0.002328470459388109
1.0e-7,0.0,0.0792674135595911
1.0e-7,0.1632862366976308,0.013802522022148192
1.0e-7,0.0,0.04371104732237825
1.0e-7,0.40335455275842147,0.00279224460897872
1.0e-7,0.14969982090763634,0.01126530852649696
1.0e-7,0.026248605671828493,0.028706190762062992
1.0e-7,0.22246642874330136,0.01052262547211548
1.0e-7,0.0028236162067078316,0.00965904767418943
1.0e-7,0.4050810701511841,0.006279862337950361
1.0e-7,0.4232242843422603,0.01319138658098855
1.0e-7,0.37514254663953267,0.011575584576810705
1.0e-7,0.0,0.008651653661716571
1.0e-7,0.0,0.008876475354419449
1.0e-7,0.4172198036328715,0.0049820407644671745
1.0e-7,0.3406932369154758,0.008056017822431124
1.0e-7,0.0,0.02432771349095082
1.0e-7,0.08254478920944244,0.02547189219137191
1.0e-7,0.0,0.028974504377534818
1.0e-7,0.0,0.07593268055655666
1.0e-7,0.0,0.021219256975522915
1.0e-7,0.0,0.008081376772418108
1.0e-7,0.34855432699429534,0.0016790972946551666
1.0e-7,0.0,0.06997378513768031
1.0e-7,0.0,0.03747623757392067
1.0e-7,0.25919327137594356,0.007236495141686626
1.0e-7,0.0,0.002287548775304074
1.0e-7,0.0,0.002328470459388109
