V_cell,min_gentime,transporter_density,K,V_max
1.4961274400965977e-19,3.647545506226672,0.0002789151210488681,3.6937816140538705e-5,5.7851282260999656e-6
1.7311231091703424e-19,1.3961448204585911,0.0007173667319641786,4.35134005719952e-5,1.4830478896624998e-5
1.9943608703679394e-19,0.7284986630530441,0.0013664309678510177,5.3923384851885974e-5,2.8145288747853667e-5
2.288256614152489e-19,2.5517723028910795,0.00040112024067727274,3.9478734731495165e-5,8.228835764452072e-6
2.615354161065164e-19,0.6436795348172418,0.0015519342108486277,5.89940997139187e-5,3.169810619893707e-5
2.978328106865597e-19,0.5265432566878369,0.001897995320089185,6.617845111085223e-5,3.858413078520415e-5
3.3799866484520837e-19,1.004133428339575,0.0010121484643997685,5.148636852443566e-5,2.047266596400295e-5
3.823274391218407e-19,1.692632939232983,0.0006178454159751891,4.478337961054875e-5,1.2430659032329942e-5
4.3112751384645203e-19,2.6035204620229457,0.0004200377156237953,4.1358645232519845e-5,8.403455875923791e-6
4.84721466344238e-19,2.121293620608866,0.0005169149245738606,4.3676556890027046e-5,1.028059034320283e-5
5.434463464584686e-19,1.6239082446610524,0.000673096072852067,4.7417798791334364e-5,1.3303982972163516e-5
6.076539504434205e-19,1.7838299074174986,0.0006311428150158282,4.70337660984706e-5,1.239412764566655e-5
6.777110932762997e-19,1.180653432149206,0.0009371257026981242,5.45714070488842e-5,1.8278867551775387e-5
7.539998794344956e-19,5.02004186989597,0.00029799009401274516,4.01546851459893e-5,5.771608019848331e-6
8.369179721821221e-19,7.160822948672407,0.0002567542268371642,3.9390356110361537e-5,4.936707463801974e-6
9.268788614075547e-19,5.103682228390276,0.0003368971592970678,4.165021232791896e-5,6.428708398919014e-6
1.0243121300516382e-18,2.2689554625913932,0.0006169332598805777,4.931442377779232e-5,1.1680282891880482e-5
1.1296637191642824e-18,0.47169052379407167,0.0024034520045809688,9.845380908114248e-5,4.5135882629090814e-5
1.2433961916253998e-18,7.357247945735846,0.0003663028705474252,4.335888546017606e-5,6.82151500993521e-6
1.3659889945644884e-18,2.6517448429709334,0.0006622337959621727,5.2263242415391984e-5,1.222612324863668e-5
1.4979387205115397e-18,4.61143445869965,0.0005398817067652746,4.920560851189347e-5,9.878612707138807e-6
1.6397593673105746e-18,0.5690777527141798,0.002254583471080254,0.00010251558784815803,4.0875841191473056e-5
1.791982596825683e-18,2.7228716891908307,0.0008212121998971003,5.912474620230327e-5,1.4748303038005397e-5
1.955157992468192e-18,2.8892894394539215,0.0008720812484638743,6.155420927313428e-5,1.551005222072239e-5
2.1298533155723824e-18,0.34143163957886197,0.0038160222842371122,0.00016131641849579414,6.719243979438407e-5
2.316654760646008e-18,1.31261383906677,0.001518310147632969,8.554666991645965e-5,2.6461042849404522e-5
2.5161672095208883e-18,1.6618425523106741,0.0014531035673508825,8.46952015537409e-5,2.5059015137396563e-5
2.729014484427734e-18,0.8481073950125195,0.0022411025774794523,0.00011487536936245355,3.823265549485686e-5
2.955839600018488e-18,0.9359409959496878,0.002268444638824508,0.00011810673240696305,3.8272860236618906e-5
3.1973050143585975e-18,3.3110956828179248,0.0015496056838168024,9.270039829867651e-5,2.5849913268432168e-5
3.4540928789106664e-18,2.0657960041582393,0.0019517174669597599,0.00011013309963697351,3.218219422963891e-5
3.7269052875302855e-18,2.4535075615705915,0.0020768767089433685,0.00011717947770595754,3.3842034922346196e-5
4.016464524493985e-18,5.504473487725306,0.002049091944503081,0.00011815000666216526,3.2986872185599506e-5
4.323513311578521e-18,1.3848022834775506,0.002983613921869169,0.00016003168469589692,4.743991090452056e-5
4.648815054210175e-18,6.315078458320945,0.0026078967328210614,0.00014676001851953206,4.094506650592841e-5
4.9931540867018384e-18,1.7896661356001784,0.0034634625120256303,0.00018769741218444325,5.368103725941392e-5
5.357335916595357e-18,1.8893918414494342,0.003835324916701603,0.00020836494864013438,5.866809486093003e-5
5.742187468125692e-18,1.7394538327840432,0.004356862074459916,0.0002368604450860319,6.575885609648845e-5
6.1485573248231944e-18,3.0889710211129575,0.004554867734092785,0.0002510338001317275,6.781551850752661e-5
6.577315971269608e-18,3.5636654770645593,0.005087151649486358,0.0002820369695467267,7.469547095145535e-5
7.029356034022832e-18,1.3541103948723214,0.006365415531814602,0.00035157482618563526,9.215251499969237e-5
7.505592521725224e-18,2.673481298825666,0.0066324561677542655,0.0003722681269358124,9.464801072327099e-5
8.00696306440957e-18,3.376324551521574,0.007377622301619655,0.00041859841607714676,0.00010375458740220704
8.534428152016461e-18,0.7361954888530613,0.009821871612770835,0.000557357748049166,0.0001360935041151148
9.088971372136418e-18,0.7296747702699007,0.010945301104507149,0.0006297157995910075,0.00014939049580837721
9.671599646989759e-18,1.326779371794058,0.01130331936555875,0.000662126118250866,0.00015193389044522194
1.0283343469656548e-17,0.858535182764788,0.01329204842343563,0.0007880821892616816,0.00017591251872309973
1.092525713956908e-17,1.8055885531684388,0.013957056910256681,0.0008420199751132865,0.000181827316122373
1.1598418997278576e-17,2.33185037656096,0.015521733139997508,0.0009508185908206546,0.00019900855754112503
1.2303931658507466e-17,3.067439751553559,0.017333070866682468,0.0010782892224243217,0.00021866571327451245
